名称,类型,转换后名称,转换后别名,地级数据库要求
规划_交通设施_线,线,ZT_GH_JTSS_X,制图_规划_交通设施_线,0
现状_交通设施_面,面,NA,无,0
规划_交通设施_面,面,ZT_GH_JTSS_M,制图_规划_交通设施_面,0
现状_水系_线,线,NA,无,0
规划_水系_线,线,NA,无,0
现状_水系_面,面,XZ_SX_M,现状_水系_面,0
规划_水系_面,面,GH_SX_M,规划_水系_面,0
山体,点,ZT_ST_D,制图_山体_点,0
现状_永久基本农田_保护区,面,NA,无,0
现状_永久基本农田_片块,面,NA,无,0
现状_永久基本农田_图斑,面,NA,无,0
现状_基本草原,面,NA,无,0
现状_公益林,面,NA,无,0
现状_生态保护红线,面,NA,无,0
现状_自然保护地,面,XZ_ZRBHD,现状_自然保护地,0
规划_自然保护地,面,ZRBHD,自然保护地,1
现状_水源保护区,面,NA,无,0
规划_水源保护区,面,GH_SYBHQ,规划_水源保护区,1
矿产资源点,点,ZT_KCZYD,制图_矿产资源分布_点,0
现状_采矿_点,点,NA,无,0
规划_采矿_点,点,NA,无,0
现状_采矿_线,线,NA,无,0
规划_采矿_线,线,NA,无,0
现状_采矿_面,面,NA,无,0
规划_采矿_面,面,NA,无,0
探矿权分区与重点勘察区,面,NA,无,0
禁限勘察与开采区,面,NA,无,0
现状_灾害_点,点,XZZRZHFXFB,现状自然灾害风险分布,1
规划_灾害_点,点,NA,无,0
现状_灾害_线,线,NA,无,0
规划_灾害_线,线,NA,无,0
现状_灾害_面,面,NA,无,0
规划_灾害_面,面,NA,无,0
现状_综合防灾_点,点,NA,无,0
现状_综合防灾_线,线,NA,无,0
现状_综合防灾_面,面,NA,无,0
规划_综合防灾_点,点,FZJZSSD,防灾减灾设施（点）,1
规划_综合防灾_线,线,FZJZSSX,防灾减灾设施（线）,1
规划_综合防灾_面,面,FZJZSSM,防灾减灾设施（面）,1
现状_基础设施_点,点,NA,无,0
规划_基础设施_点,点,QTZDJCSSD,其他重大基础设施（点）,1
现状_基础设施_线,线,NA,无,0
规划_基础设施_线,线,QTZDJCSSX,其他重大基础设施（线）,1
现状_基础设施_面,面,NA,无,0
规划_基础设施_面,面,QTZDJCSSM,其他重大基础设施（面）,1
制图_基础设施_点,点,NA,无,0
制图_基础设施_线,线,NA,无,0
制图_基础设施_面,面,NA,无,0
现状_公共设施_点,点,NA,无,0
规划_公共设施_点,点,NA,无,0
现状_公共设施_线,线,NA,无,0
规划_公共设施_线,线,NA,无,0
现状_公共设施_面,面,NA,无,0
规划_公共设施_面,面,NA,无,0
制图_公共设施_点,点,NA,无,0
制图_公共设施_线,线,NA,无,0
制图_公共设施_面,面,NA,无,0
现状_旅游_点,点,NA,无,0
规划_旅游_点,点,NA,无,0
现状_旅游_线,线,NA,无,0
规划_旅游_线,线,NA,无,0
现状_旅游_面,面,NA,无,0
规划_旅游_面,面,NA,无,0
现状_历史文化_点,点,NA,无,0
规划_历史文化_点,点,NA,无,0
现状_历史文化_线,线,NA,无,0
规划_历史文化_线,线,NA,无,0
现状_历史文化_面,面,NA,无,0
规划_历史文化_面,面,LSWHBHX,历史文化保护线,1
制图_历史文化与旅游_点,点,NA,无,0
制图_历史文化与旅游_线,线,NA,无,0
制图_历史文化与旅游_面,面,NA,无,0
制图_地形_市域,栅格,ZT_DX_SY,制图_地形_市域,0
制图_地形_中心城区,栅格,ZT_DX_ZXCQ,制图_地形_中心城区,0
制图_山体阴影_市域,栅格,ZT_STYY_SY,制图_山体阴影_市域,0
制图_山体阴影_中心城区,栅格,ZT_STYY_ZXCQ,制图_山体阴影_中心城区,0
制图_遮罩_市域,面,ZT_ZZ_SY,制图_遮罩_市域,0
制图_遮罩_中心城区,面,ZT_ZZ_ZXCQ,制图_遮罩_中心城区,0
规划_海岸线保护利用,线,HAX,海岸线,1
规划_海岛保护利用,面,HDBHLY,海岛保护利用,1
生态系统服务功能重要性分布,面,STXTFWGNZYXFB,生态系统服务功能重要性分布,1
生态脆弱性分布,面,STCRXFB,生态脆弱性分布,1
主体功能分区,面,ZTGNFQ,主体功能分区,1
城镇开发边界,面,CZJKFBJ,城镇开发边界,1
天然林,面,TRL,天然林,1
生态公益林,面,STGYL,生态公益林,1
湿地,面,SD,湿地,1
河湖岸线,线,HHAX,河湖岸线,1
历史文化遗存分布,点,LSWHYCFB,历史文化遗存分布,1
矿产资源控制线,面,KCZYKZX,矿产资源控制线,1
洪涝风险控制线,面,HLFXKZX,洪涝风险控制线,1
生态保护空间格局（面）,面,STBHKJGJM,生态保护空间格局（面）,1
生态廊道,面,STLD,生态廊道,1
农业生产空间布局（面）,面,NYSCKJBJM,农业生产空间布局（面）,1
耕地质量等级分区,面,GDZLDJFQ,耕地质量等级分区,1
产业空间布局（面）,面,CYKJBJM,产业空间布局（面）,1
海域保护利用,面,HYBHLY,海域保护利用,1
世界遗产,点,SJYC,世界遗产,1
国家文化公园,面,GJWHGY,国家文化公园,1
文化生态保护区,面,WHSTBHQ,文化生态保护区,1
历史文化名城,面,LSWHMC,历史文化名城,1
历史文化名镇,面,LSWHMZ,历史文化名镇,1
历史文化名村,面,LSWHMC,历史文化名村,1
历史城区,面,LSCQ,历史城区,1
历史文化街区,面,LSWHJQ,历史文化街区,1
历史建筑,面,LSJZ,历史建筑,1
文物保护单位,面,WWBHDW,文物保护单位,1
传统村落,面,CTCL,传统村落,1
灾害风险区,面,ZHFXQ,灾害风险区,1
重大交通基础设施（点）,点,ZDJTJCSSD,重大交通基础设施（点）,1
重大交通基础设施（线）,线,ZDJTJCSSX,重大交通基础设施（线）,1
重大交通基础设施（面）,面,ZDJTJCSSM,重大交通基础设施（面）,1
重大能源基础设施（点）,点,ZDNYJCSSD,重大能源基础设施（点）,1
重大能源基础设施（线）,线,ZDNYJCSSX,重大能源基础设施（线）,1
重大能源基础设施（面）,面,ZDNYJCSSM,重大能源基础设施（面）,1
重大水利基础设施（点）,点,ZDSLJCSSD,重大水利基础设施（点）,1
重大水利基础设施（线）,线,ZDSLJCSSX,重大水利基础设施（线）,1
重大水利基础设施（面）,面,ZDSLJCSSM,重大水利基础设施（面）,1
重大信息通讯设施（点）,点,ZDXXTXSSD,重大信息通讯设施（点）,1
重大信息通讯设施（线）,线,ZDXXTXSSX,重大信息通讯设施（线）,1
重大信息通讯设施（面）,面,ZDXXTXSSM,重大信息通讯设施（面）,1
分区规划单元,面,FQGHDY,分区规划单元,1
详规单元,面,XGDY,详规单元,1
近期重大项目（点）,点,JQZDXMD,近期重大项目（点）,1
近期重大项目（线）,线,JQZDXMX,近期重大项目（线）,1
近期重大项目（面）,面,JQZDXMM,近期重大项目（面）,1
中心城区范围,面,ZXCQFW,中心城区范围,1
中心城区保障住房,面,ZXCQBZZF,中心城区保障住房,1
中心城区城市蓝线,面,ZXCQCSLX,中心城区城市蓝线,1
中心城区城市绿线,面,ZXCQCSLVX,中心城区城市绿线,1
中心城区城市紫线,面,ZXCQCSZX,中心城区城市紫线,1
中心城区城市黄线,面,ZXCQCSHX,中心城区城市黄线,1
中心城区视线通廊,面,ZXCQSXTL,中心城区视线通廊,1
中心城区道路红线,线,ZXCQDLHX,中心城区道路红线,1
中心城区防灾减灾设施（点）,点,ZXCQFZJZSSD,中心城区防灾减灾设施（点）,1
中心城区防灾减灾设施（线）,线,ZXCQFZJZSSX,中心城区防灾减灾设施（线）,1
中心城区防灾减灾设施（面）,面,ZXCQFZJZSSM,中心城区防灾减灾设施（面）,1
中心城区城市更新单元,面,ZXCQCSGXDY,中心城区城市更新单元,1
